"Goat","Before","After"
"Aisha",17,16
"",14,15
,10,13
"Bertha",-22,23
"Bessie",20,
"Boyd",13,Some
"Bridgette",16,"a few"
"Carrie",15 19
"Carter",14,20
"Cassandra",12,11
"Catherine",18,22
"Corine",16,16
"Danial",15,19
"Darell",-19,23
"Dawn",16,18
"Deborah",16,-9
"Dewey",10,12
"Elvira",10,12
"Flossie",19,23
"Foster",20,24
"Georgia",12,14
"Gerald",17,"Woo"
"Glenda",15,21
"Heather",11,14
"Herman",18,22
"Isabella",20,19
"Johnnie",18,"Strange!"
"Jonas",10,12
"Josh",13,18
"Juan",16,16
"Leticia",10,13
"Lino",20,26
"Long",-34,25
"Lydia",11,10
"Major",13,13
"Manuela",15,17
"Marcus",18,20
"Mike",17,16
"Morton",20,20
"Pauline",20,22
"Rebekah",12,15
"Rhonda",16,20
"Rodolfo",11,10
"Rory",13,13
"Sarah",19,22
"Stefanie",20,21
"Stewart",18,19
"Vincent","asdf",21
"Wanda",19,22
"Wilfred",16,20
